"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Удаление траты через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
"","0","Создание траты со всеми поддерживаемыми валютами через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
"","0","Помещение в архив категории через API","","Mon Mar 23 15:19:02 UTC 2026","broken","Mon Mar 23 15:19:02 UTC 2026","","","",""
"","0","Создание категории через API","","Mon Mar 23 15:19:02 UTC 2026","broken","Mon Mar 23 15:19:02 UTC 2026","","","",""
"","0","Создание траты со всеми поддерживаемыми валютами через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
"","0","Создание траты со всеми поддерживаемыми валютами через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
"","5003","Проверка ошибки после повторной регистрации","","Mon Mar 23 15:19:08 UTC 2026","broken","Mon Mar 23 15:19:13 UTC 2026","","","",""
"","0","Редактирование названия категории через API","","Mon Mar 23 15:19:02 UTC 2026","broken","Mon Mar 23 15:19:02 UTC 2026","","","",""
"","5003","Проверка сообщения после успешной регистрации","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:08 UTC 2026","","","",""
"","0","Получение списка категорий через API","","Mon Mar 23 15:19:02 UTC 2026","broken","Mon Mar 23 15:19:02 UTC 2026","","","",""
"","0","Создание траты через API","","Mon Mar 23 15:19:02 UTC 2026","broken","Mon Mar 23 15:19:02 UTC 2026","","","",""
"","0","Редактирование траты через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
"","0","Создание траты со всеми поддерживаемыми валютами через API","","Mon Mar 23 15:19:03 UTC 2026","broken","Mon Mar 23 15:19:03 UTC 2026","","","",""
